# Seconds,Low-gamma2,Low-gamma8,2 and 8
1,24948,40637,
2,56224,12841,
3,5609,4429,
4,1310,658,
5,2107,10188,
6,2065,4109,
7,985,2524,
8,1943,1093,
9,5332,551,
10,1309,827,
11,14932,6771,
12,9157,19444,
13,10343,8944,
14,3890,4084,
15,5612,4751,
16,39146,1335,
17,2474,6372,
18,17956,19028,
19,32530,5494,
20,5643,27404,
21,1054,7460,
22,4613,5725,
23,10355,4298,
24,22724,5133,
25,4255,14469,
26,13732,5937,
27,22234,28889,
28,908,115453,
29,2299,5121,
30,20922,1138,
31,4340,4410,
32,2689,17108,
33,2052,64210,
34,5444,49370,
35,819,13668,
36,2165,12784,
37,10786,13585,
38,3051,7984,
39,10066,220362,
40,5052,13442,
41,869,1832,
42,1967,2344,
43,6183,3070,
44,15047,2309,
45,6791,3099,
46,4069,9403,
47,4290,4916,
48,3868,8106,
49,3870,1260,
50,2524,3100,
51,2956,108906,
52,2026,34818,
53,5905,5044,
54,2797,6127,
55,2451,2568,
56,5207,5767,
57,3148,5062,
58,1815,1743,
59,4351,3483,
60,5449,3961,
61,1835,6052,
62,2323,2695,
63,2598,3908,
64,4360,1108,
65,1781,7777,
66,1520,10570,
67,8547,10282,
68,2599,18576,
69,1802,3567,
70,2812,5950,
71,3318,2390,
72,2378,13539,
73,2938,33014,
74,1060,8076,
75,935,9249,
76,1622,7368,
77,6697,4727,
78,646,6406,
79,5566,943,
80,1855,4220,
81,2589,5056,
82,1970,41776,
83,435,6624,
84,2089,25587,
85,1270,3567,
86,1129,1437,
87,985,2738,
88,751,634,
89,4309,660,
90,127,1646,
91,4136,7736,
92,302,7671,
93,1673,8400,
94,7225,6804,
95,1202,5847,
96,2549,25285,
97,2858,33206,
98,2331,2968,
99,19845,34023,
100,1290,10475,
101,1274,12677,
102,701,23374,
103,3266,14598,
104,668,3410,
105,2322,17561,
106,6020,16686,
107,11841,5120,
108,1898,838,
109,2429,18594,
110,324,13298,
111,4009,55982,
112,9450,270261,
113,2809,12503,
114,2116,140714,
115,4402,19730,
116,4764,22081,
117,1001,51191,
118,2561,68145,
119,2669,7877,
120,3827,7233,
121,2283,6134,
122,1831,21844,
123,2202,5489,
124,4390,767,
125,1084,12785,
126,6740,7085,
127,3900,13574,
128,2253,14344,
129,4110,4341,
130,3542,86247,
131,8591,55409,
132,1866,3417,
133,3531,4301,
134,3974,1529,
135,2297,33608,
136,1799,3535,
137,2335,2726,
138,2526,10572,
139,2176,2178,
140,1572,418,
141,4131,3470,
142,1459,17953,
143,4523,60193,
144,1180,7183,
145,9695,124302,
146,1623,7453,
147,1234,49675,
148,27761,126353,
149,12987,76290,
150,14767,3598,
151,17080,105809,
152,2133,386694,
153,4996,105104,
154,10523,21440,
155,29743,48928,
156,4961,130558,
157,1106,19332,
158,815,13752,
159,8693,138009,
160,3839,30135,
161,4338,99685,
162,4907,112023,
163,7329,7879,
164,12029,87013,
165,11192,9808,
166,5517,4311,
167,11681,74239,
168,7589,6377,
169,76146,11549,
170,36299,8920,
171,5731,74822,
172,15833,7363,
173,31058,19461,
174,42650,10629,
175,1557,12383,
176,9706,45008,
177,4600,2525,
178,50853,31317,
179,18464,10877,
180,19282,113777,
181,20341,15346,
182,9359,3497,
183,8300,4000,
184,9675,9774,
185,1074,717,
186,14251,8569,
187,2564,5591,
188,21361,19072,
189,11835,8630,
190,2822,2637,
191,8139,2890,
192,7757,2855,
193,5208,3515,
194,8960,3927,
195,12960,10854,
196,17705,2412,
197,6153,546,
198,3103,2678,
199,4761,3382,
200,8221,613,
201,3865,40134,
202,14585,73594,
203,5209,4808,
204,3415,15357,
205,6815,6375,
206,8205,8174,
207,3822,51541,
208,5691,22113,
209,8729,2468,
210,4724,15404,
211,3754,98363,
212,6200,5618,
213,5695,36788,
214,5361,12412,
215,6268,1830,
216,4935,28986,
217,5067,4040,
218,8489,9525,
219,4842,793,
220,4880,9510,
221,2057,14603,
222,4946,13044,
223,2977,12805,
224,4340,26331,
225,13585,1952,
226,3168,8941,
227,3935,889,
228,5427,2919,
229,6800,1064,
230,15268,2250,
231,14831,1531,
232,265,6325,
233,1186,3000,
234,8235,3069,
235,1616,2068,
236,11944,15787,
237,13974,1786,
238,34699,1976,
239,6550,4455,
240,16738,2492,
241,6473,1378,
242,1596,3655,
243,10284,10134,
244,795,40463,
245,1057,3871,
246,226,2046,
247,2227,15444,
248,1414,4381,
249,6586,8177,
250,3743,8944,
251,16343,9658,
252,1231,92329,
253,5667,56224,
254,2389,16865,
255,11548,114414,
256,582,84206,
257,3501,46517,
258,3203,2037,
259,776,41369,
260,9592,23244,
261,1979,6593,
262,1902,13730,
263,7033,18887,
264,5613,4123,
265,6547,30048,
266,5776,24082,
267,2264,320,
268,3304,17688,
269,15662,2582,
270,1980,10101,
271,9335,811,
272,2264,8622,
273,10857,15728,
274,910,7143,
275,1519,10523,
276,3632,16578,
277,10178,6041,
278,8328,24464,
279,2185,23320,
280,4472,9221,
281,476,1289,
282,7135,1926,
283,622,1927,
284,7790,4615,
285,1686,1358,
286,1301,1392,
287,7220,4648,
288,782,11206,
289,2341,15834,
290,1728,1837,
291,2489,15491,
292,6742,9323,
293,7944,2327,
294,5315,3600,
295,8208,392546,
296,5879,2604,
297,911,414,
298,8237,4551,
299,9913,2766,
300,293,6129,
