Month,Refugees count,War Occurencies
200302,37582,99
200303,39618,557
200304,38169,275
200305,34866,224
200306,36300,231
200307,39736,199
200308,38234,253
200309,42989,224
200310,42767,285
200311,36432,235
200312,37706,212
200401,31126,203
200402,30081,275
200403,35058,286
200404,32303,232
200405,26420,228
200406,30140,225
200407,30342,234
200408,29582,202
200409,31401,265
200410,30093,262
200411,29126,235
200412,32968,269
200501,26213,236
200502,24356,203
200503,27715,262
200504,24819,236
200505,23982,259
200506,25779,208
200507,23568,229
200508,26195,240
200509,27672,235
200510,26540,245
200511,26577,254
200512,25573,231
200601,24156,242
200602,21601,201
200603,24231,241
200604,19973,207
200605,21680,246
200606,20773,281
200607,21173,257
200608,23690,235
200609,23956,120
200610,26680,142
200611,27061,239
200612,23763,247
200701,25537,247
200702,23945,271
200703,25895,261
200704,23879,256
200705,23968,268
200706,23105,270
200707,23584,226
200708,25400,259
200709,25768,281
200710,30028,301
200711,28124,260
200712,26538,241
200801,29032,219
200802,27330,190
200803,25341,181
200804,27192,179
200805,26905,204
200806,27676,189
200807,31787,207
200808,31296,154
200809,35574,157
200810,36640,232
200811,32380,196
200812,32659,193
200901,31372,239
200902,29733,198
200903,31867,205
200904,30196,202
200905,29200,189
200906,30711,154
200907,31985,192
200908,29144,166
200909,31359,178
200910,32707,190
200911,31558,247
200912,28888,214
201001,26144,225
201002,27405,170
201003,30611,192
201004,25543,162
201005,25089,172
201006,28627,181
201007,27632,196
201008,31271,174
201009,33586,187
201010,35095,259
201011,33072,224
201012,30582,258
201101,29805,198
201102,30426,221
201103,35701,222
201104,31944,187
201105,38790,232
201106,36821,192
201107,35142,168
201108,37847,175
201109,39488,169
201110,39296,196
201111,38214,210
201112,38999,165
201201,34838,158
201202,32466,197
201203,34975,211
201204,32261,186
201205,37076,170
201206,37141,134
201207,39993,164
201208,41720,219
201209,44898,179
201210,54120,221
201211,46963,212
201212,39194,188
201301,41061,232
201302,37423,208
201303,40321,234
201304,45162,210
201305,46718,228
201306,48856,207
201307,52163,215
201308,49876,229
201309,56623,191
201310,59952,227
201311,54205,273
201312,48439,153
201401,51547,196
201402,45799,187
201403,50159,199
201404,52214,216
201405,56879,210
201406,65029,208
201407,78661,200
201408,75605,195
201409,91067,193
201410,92460,212
201411,84745,201
201412,90608,187
201501,82085,90
201502,85801,200
201503,85284,195
201504,82072,190
201505,93533,214
201506,123299,204
201507,150823,186
201508,176814,171
201509,210121,215
201510,221852,226
201511,196351,266
201512,138261,235
201601,122255,168
201602,135888,154
201603,132124,139
201604,132441,133
201605,127808,145
201606,144555,140
201607,137586,134
201608,162901,145
201609,148741,161
201610,108147,164
201611,101326,141
201612,80468,142
201701,83446,131
201702,81066,134
201703,90184,129
201704,62944,130
201705,57258,135
